itemLabel,ikuspenak,imagen
Tere Irastortza,49,http://commons.wikimedia.org/wiki/Special:FilePath/Tere%20Irastortza%20%28F.M.%29.jpg
Maria Elena Arizmendi,3,http://commons.wikimedia.org/wiki/Special:FilePath/Mi%20madre%20Maria%20Elena%20Arizmenmdi%20en%201955.jpg
Lorea Agirre,48,http://commons.wikimedia.org/wiki/Special:FilePath/Lorea%20Agirre%20full.jpg
Joxantonio Ormazabal,75,http://commons.wikimedia.org/wiki/Special:FilePath/Joxantonio%20Ormazabal%20%28Maider%20Zapirain%29.jpg
Inozentzio Olea,16,http://commons.wikimedia.org/wiki/Special:FilePath/Inozentzio%20Olea.jpg
Klaudio Otaegi,7,http://commons.wikimedia.org/wiki/Special:FilePath/Euskal%20erria%20otaegi%201890.jpg
Sabina Urraca,3,http://commons.wikimedia.org/wiki/Special:FilePath/Sabina%20Urraca%2002.jpg
Idoia Otaegi,9,http://commons.wikimedia.org/wiki/Special:FilePath/Otagui-aizpur%C3%BAa-09.jpg
Ana Terradillos,17,http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20Terradillos.jpg
Mikel Aiestaran,30,http://commons.wikimedia.org/wiki/Special:FilePath/Cupre%20II%20%2815636851840%29.jpg
Manuel Urtizberea,5,http://commons.wikimedia.org/wiki/Special:FilePath/Manuel%20Urtizberea.jpg
Antonio Arzak,8,http://commons.wikimedia.org/wiki/Special:FilePath/Thun%20thun%201894%2009%2023%20antonio%20arzac.jpg
Itxaso Martin,11,http://commons.wikimedia.org/wiki/Special:FilePath/Itxaso%20martin.jpg
Edorta Agirre,12,http://commons.wikimedia.org/wiki/Special:FilePath/Edorta%20Agirre.jpg
Arantza Portabales,8,http://commons.wikimedia.org/wiki/Special:FilePath/Arantza%20Portabales.jpg
Martin Etxeberria Zuloaga,7,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Etxeberria%20Zuloaga.jpg
Maddi Zubeldia,11,http://commons.wikimedia.org/wiki/Special:FilePath/Maddi%20Zubeldia.jpg
Ana Malagon,47,http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20Malagon.jpg
Gabriel Celaya,86,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20Celaya%20bere%20lantokian.jpg
Harkaitz Cano,175,http://commons.wikimedia.org/wiki/Special:FilePath/Harkaitz%20Cano.jpg
Manuel Lekuona,67,http://commons.wikimedia.org/wiki/Special:FilePath/Manuel%20Lekuona%20%28cropped%29.jpg
Agustin Kardaberaz,63,http://commons.wikimedia.org/wiki/Special:FilePath/Agustin%20Kardaberaz%20idazlea.png
Maialen Lujanbio,626,http://commons.wikimedia.org/wiki/Special:FilePath/2017ko%20Bertsolari%20Txapelketa%20Nagusia%20-%20BEC%20-%20Maialen%20txapeldun.jpg
Jose Maria Iparragirre,728,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Mari%20Iparragirre%20Balerdi.jpg
Xabier Lete,695,http://commons.wikimedia.org/wiki/Special:FilePath/Xabi%20Lete%201971%20txiki.jpg
Juan Mari Lekuona,42,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Mari%20Lekuona%201989an.jpg
Aitor Arana,84,http://commons.wikimedia.org/wiki/Special:FilePath/Hemeroteka%20Karlos%20del%20Olmo2001%20%28cropped%20to%20Aitor%20Arana%29.jpg
Sebastian Mendiburu,67,http://commons.wikimedia.org/wiki/Special:FilePath/Oiartzun%2001.JPG
Inazio Eizmendi,76,http://commons.wikimedia.org/wiki/Special:FilePath/Basarri.jpg
Maite Pagazaurtundua,10,http://commons.wikimedia.org/wiki/Special:FilePath/Maite%20Pagazaurtundua%20en%20la%20celebraci%C3%B3n%20del%20X%20aniversario%20del%20Centro%20Sefarad-Israel.jpg
Jon Martin,42,http://commons.wikimedia.org/wiki/Special:FilePath/Jon%20Martin%20%28Maddi%20Suarez%29.png
Amaia Lasa,56,http://commons.wikimedia.org/wiki/Special:FilePath/Amaia%20Lasa%202011.jpg
Jon Maia,203,http://commons.wikimedia.org/wiki/Special:FilePath/Jon%20Maia%20bertsolaria%202008an.jpg
Ixiar Rozas,26,http://commons.wikimedia.org/wiki/Special:FilePath/Ixiar%20Rozas.jpg
Joxerra Garzia,210,http://commons.wikimedia.org/wiki/Special:FilePath/Joxerra%20Garzia%202010ean.jpg
Julen Lekuona,45,http://commons.wikimedia.org/wiki/Special:FilePath/Julen%20Lekuona.jpg
Joseba Gabilondo,14,http://commons.wikimedia.org/wiki/Special:FilePath/Joseba-gabilondo-argia-1.jpg
Biktoriano Iraola,21,http://commons.wikimedia.org/wiki/Special:FilePath/Iraola%201.jpg
Juan Garzia,67,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Garzia%20%28Argia-Dani%20Blanco%29.jpg
Pello Lizarralde,33,http://commons.wikimedia.org/wiki/Special:FilePath/1991-Pello%20Lizarralde.jpg
Antero Apaolaza,5,http://commons.wikimedia.org/wiki/Special:FilePath/Antero%20Apaolaza.jpg
Antton Kazabon,80,http://commons.wikimedia.org/wiki/Special:FilePath/Antton%20Kazabon.jpg
Gregorio Arrue,4,http://commons.wikimedia.org/wiki/Special:FilePath/Gregorio%20Arrue%20itzultzailea.png
Andoni Tolosa,2,http://commons.wikimedia.org/wiki/Special:FilePath/Morau%200001.jpg
Telesforo Aranzadi,15,http://commons.wikimedia.org/wiki/Special:FilePath/Telesforo%20Aranzadi%20zientzialari%20bergararra.jpg
Isidro Gil,3,http://commons.wikimedia.org/wiki/Special:FilePath/ISIDRO%20GIL%20GAVILONDO.jpg
Felipe Juaristi,45,http://commons.wikimedia.org/wiki/Special:FilePath/Felipe%20Juaristi%20%28Teresa%20Santos%29%201.jpg
Telesforo Monzon,5,http://commons.wikimedia.org/wiki/Special:FilePath/Telesforo%20Monzon%20politikaria%201934an%20%28cropped%29.png
Bizenta Mogel,394,http://commons.wikimedia.org/wiki/Special:FilePath/Bizenta%20Mogel%20%28plakako%20irudia%29.jpg
Juan Frantzisko Petriarena,2,http://commons.wikimedia.org/wiki/Special:FilePath/Xenpelar%200001.png
Nemesio Etxaniz,43,http://commons.wikimedia.org/wiki/Special:FilePath/Nemesio%20Etxaniz%20%282%29.jpg
Juan Martin Elexpuru,85,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Martin%20Elexpuru%20idazlea%202009ko%20abenduan.jpg
Oihana Arana,115,http://commons.wikimedia.org/wiki/Special:FilePath/Oihana%20Arana.%20Poeta.jpg
Pako Sudupe,17,http://commons.wikimedia.org/wiki/Special:FilePath/Pako%20Sudupe-Egunkaria-%20Gaizka%20iIoz.png
Eusebio Osa Unamuno,7,http://commons.wikimedia.org/wiki/Special:FilePath/Eusebio%20Osa%20Argia.jpg
Lander Garro,62,http://commons.wikimedia.org/wiki/Special:FilePath/Lander%20Garro%2C%202012.jpg
Agustin Telleria,7,http://commons.wikimedia.org/wiki/Special:FilePath/Agust%C3%ADn%20Teller%C3%ADa%201.jpg
Agustin Arrieta Urtizberea,35,http://commons.wikimedia.org/wiki/Special:FilePath/Agustin%20Arrieta%20Urtizberea.jpg
Nerea Loiola,75,http://commons.wikimedia.org/wiki/Special:FilePath/Nerea%20Loiola.%20Idazlea.jpg
Juan Luis Zabala,53,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Luis%20Zabala%20%28Jon%20Andoni%20Martin%20Gonzalez%29.jpg
Juan Ramon Makuso,60,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Ramon%20Makuso.jpg
Juan Ignazio Uranga,2,http://commons.wikimedia.org/wiki/Special:FilePath/Thun%20thun%201894%2006%2024%20juan%20ignacio%20uranga.jpg
Kattalin Miner,53,http://commons.wikimedia.org/wiki/Special:FilePath/Kattalin%20Miner%20.jpg
Ainara Maia,16,http://commons.wikimedia.org/wiki/Special:FilePath/Ainara%20Maya%20Urroz.jpg
Xabier Aldai,10,http://commons.wikimedia.org/wiki/Special:FilePath/2000-005%20Literatura%20%28cropped%29%20-%20Xabier%20Aldai.jpeg
Uxue Apaolaza,191,http://commons.wikimedia.org/wiki/Special:FilePath/Uxue%20Apaolaza%202011.jpg
Imanol Azkue,17,http://commons.wikimedia.org/wiki/Special:FilePath/Imanol%20Azkue.jpg
Joxe Mari Lopetegi,10,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Mari%20Lopetegi.jpg
Xabier Etxaniz Rojo,43,http://commons.wikimedia.org/wiki/Special:FilePath/Xabier%20Etxaniz%20Rojo%20idazlea.jpg
Xabier Gantzarain,20,http://commons.wikimedia.org/wiki/Special:FilePath/XabierGantzarainArgia%28DaniBlanco%29.jpg
Iratxe Retolaza Gutierrez,60,http://commons.wikimedia.org/wiki/Special:FilePath/Iratxe%20Retolaza%20UEU%202013%2001.jpg
Jokin Zaitegi,16,http://commons.wikimedia.org/wiki/Special:FilePath/Jokin%20Zaitegi.jpg
Virginia Gasull,2,http://commons.wikimedia.org/wiki/Special:FilePath/Virginia%20Gasull%202021.jpg
Karmele Mitxelena,19,http://commons.wikimedia.org/wiki/Special:FilePath/Karmele%20Mitxelena.jpg
Miren Gorrotxategi,2,http://commons.wikimedia.org/wiki/Special:FilePath/Miren%20Gorrotxategi%20Getxoko%20irakurle%20klubean.jpg
Markos Zapiain,67,http://commons.wikimedia.org/wiki/Special:FilePath/Markos%20Zapiain%20filosofoa%202009an.jpg
Pello Otxoteko,34,http://commons.wikimedia.org/wiki/Special:FilePath/Pello%20Otxoteko%20%28Xabier%20Urresti%29.jpg
Imanol Epelde,21,http://commons.wikimedia.org/wiki/Special:FilePath/Imanol%20Epelde%20Pagola.png
Pilar Zabala Agirre,3,http://commons.wikimedia.org/wiki/Special:FilePath/Pilar%20Zabala.jpg
Jon Etxabe,51,http://commons.wikimedia.org/wiki/Special:FilePath/Jon%20Etxabe%20idazlea.jpg
Manuel Olaizola,116,http://commons.wikimedia.org/wiki/Special:FilePath/Basarri%20eta%20Uztapide.jpg
Mikel Peruarena,18,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Peruarena%20Ansa.jpg
Joseba Zulaika,12,http://commons.wikimedia.org/wiki/Special:FilePath/Joseba%20Zulaika%20idazle%20eta%20antropologoa.jpg
Jose Manuel Lujanbio,300,http://commons.wikimedia.org/wiki/Special:FilePath/Txirrita%20eta%20Saiburu%20koloretan.jpg
Bernardo Atxaga,874,http://commons.wikimedia.org/wiki/Special:FilePath/Bernardo%20Atxaga%20-%2001.jpg
Anjel Lertxundi,248,http://commons.wikimedia.org/wiki/Special:FilePath/Anjel%20Lertxundi%20idazlea.jpg
Mikel Atxaga,7,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Atxega%20cropped.jpg
Antonio Arrue,20,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Arrue.jpg
Pako Aristi,118,http://commons.wikimedia.org/wiki/Special:FilePath/Pako%20Aristi.jpg
Joxan Artze,193,http://commons.wikimedia.org/wiki/Special:FilePath/Joxean%20Artze%20idazlea%202011n.jpg
Arantxa Iturbe,74,http://commons.wikimedia.org/wiki/Special:FilePath/Arantxa%20Iturbe%20%28Dani%20Blanco%29.jpg
Felipe Lizaso Eizmendi,12,http://commons.wikimedia.org/wiki/Special:FilePath/Felipe%20Lizaso.jpg
Patri Urkizu,33,http://commons.wikimedia.org/wiki/Special:FilePath/Patri%20Urkizu.jpg
Martxel Aizpurua,18,http://commons.wikimedia.org/wiki/Special:FilePath/Martxel%20Aizpurua%20erlezain%2002.png
Karmele Esnal,13,http://commons.wikimedia.org/wiki/Special:FilePath/Karmele%20Esnal.jpg
Ramon Etxezarreta,64,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Etxezarreta%202009an.jpg
Mikela Elizegi,3,http://commons.wikimedia.org/wiki/Special:FilePath/Mikaela%20elizegi.jpg
Garazi Ugalde,22,http://commons.wikimedia.org/wiki/Special:FilePath/Garazi%20Ugalde.%20Itzultzailea.jpg
Joseba Arregi,47,http://commons.wikimedia.org/wiki/Special:FilePath/Joseba%20Arregi%20%2896-134%29%20%28cropped%29.jpg
Garazi Kamio,14,http://commons.wikimedia.org/wiki/Special:FilePath/Garazi%20Kamio%20001.jpg
Juan Bautista Erro,5,http://commons.wikimedia.org/wiki/Special:FilePath/Erro-magues.jpg
